name,sum,count
"Общество с ограниченной ответственностью ""АЭРОСТАР""                                                                                                                                                                                                            ",30783226.47,72
"ТОО ""Nord-Kaztrans PV""                                                                                                                                                                                                                                         ",10261075.49,24
"Общество с ограниченной ответственностью ""Автоинвест""                                                                                                                                                                                                          ",20522150.98,48
"Частное производственно-транспортное унитарное предприятие ""Гречко - Транс - Сервис""                                                                                                                                                                           ",10261075.49,24
Белорусско-германское совместное предприятие <Доминик> общество с ограниченной ответственностью                                                                                                                                                                ,41044301.96,96
"Общество с ограниченной ответственностью ""ТЭП ""Белгрузавтотранс""                                                                                                                                                                                               ",51305377.45,120
"Транспортное унитарное предприятие ""БелТехноСервис"" Яцковского Анатолия Вениаминовича                                                                                                                                                                          ",20522150.98,48
"ООО ""КАР ТИР""                                                                                                                                                                                                                                                  ",10261075.49,24
"Открытое акционерное общество ""ГомельАТЭП""                                                                                                                                                                                                                     ",51305377.45,120
"Белорусско-австрийское совместное предприятие""АВТОПРОМСНАБ-СПЕДИШН"" общество с ограниченной ответственностью                                                                                                                                                   ",41044301.96,96
"Частное транспортное унитарное предприятие ""Пинскдрев-Автопарк""                                                                                                                                                                                                ",10261075.49,24
"Частное транспортное унитарное предприятие ""Ю-Транс-Фокс""                                                                                                                                                                                                      ",30783226.47,72
"Закрытое акционерное общество ""Совавто-Минск""                                                                                                                                                                                                                  ",41044301.96,96
"Транспортное унитарное предприятие ""БелПАМ""                                                                                                                                                                                                                    ",20522150.98,48
"Частное транспортное унитарное предприятие ""ЮТ-ТРАНС ЛАЙН""                                                                                                                                                                                                     ",10261075.49,24
"Общество с ограниченной ответственностью ""ЭРКЮЛЬ""                                                                                                                                                                                                              ",30783226.47,72
"Общество с дополнительной ответственностью ""Терра - инком""                                                                                                                                                                                                     ",10261075.49,24
"ООО ""НАБАЗ""                                                                                                                                                                                                                                                    ",35803937006.0,6
"ЗАО ""ЕВРОТЕРМ""                                                                                                                                                                                                                                                 ",10261075.49,24
"Товарищество с ограниченной ответственностью ""DOUBLE TRANS"" /ДУБЛЬ ТРАНС/                                                                                                                                                                                      ",10261075.49,24
"Частное автотранспортное унитарное предприятие ""ДокуТранс""                                                                                                                                                                                                     ",20522150.98,48
"Общество с ограниченной ответственностью ""МастерЛогистик""                                                                                                                                                                                                      ",10261075.49,24
"частное унитарное транспортно-экспедиционное предприятие ""Волович-Транс""                                                                                                                                                                                       ",10261075.49,24
"Частное транспортное унитарное предприятие ""Дулинец-Транс""                                                                                                                                                                                                     ",20522150.98,48
"Республиканское транспортно-экспедиционное унитарное предприятие ""БЕЛИНТЕРТРАНС-транспортно-логистический центр"" Белорусской железной дороги                                                                                                                   ",41044301.96,96
"Товарищество с ограниченной ответственностью ""МЕТЗАГ-АЗИЯ""                                                                                                                                                                                                     ",10261075.49,24
"Общество с ограниченной ответственностью ""Белгруз Карго Мастер""                                                                                                                                                                                                ",20522150.98,48
"Общество с дополнительной ответственностью ""МАБИ-КОМПАНИ""                                                                                                                                                                                                      ",20522150.98,48
"Общество с ограниченной ответственностью ""ИНТЕРТРАНСАВТО""                                                                                                                                                                                                      ",20522150.98,48
"Частное транспортное унитарное предприятие ""ГарантЛайн""                                                                                                                                                                                                        ",10261075.49,24
"Общество с ограниченной ответственностью ""Сейфтрак""                                                                                                                                                                                                            ",30783226.47,72
"Гродненское торгово-производственное республиканское унитарное предприятие ""ФАРМАЦИЯ""                                                                                                                                                                          ",20522150.98,48
"Транспортное частное унитарное предприятие ""Стэлкарго""                                                                                                                                                                                                         ",20522150.98,48
"Транспортное унитарное предприятие ""Пинскдрев-Автопарк""                                                                                                                                                                                                        ",10261075.49,24
"ООО ""ЛОКОМОТИВ-ТРАНЗИТ""                                                                                                                                                                                                                                        ",826000.0,1
"Товарищество с ограниченной ответственностью ""АССАД-ГРУПП""                                                                                                                                                                                                     ",10261075.49,24
"Белорусско-австрийское совместное предприятие ""ДЖЕНТИ-СПЕДИШН"" общество с ограниченной ответственностью                                                                                                                                                        ",30783226.47,72
"ООО ""КУБАНЬГРУЗТРАНС""                                                                                                                                                                                                                                          ",1261678.76,18
"Товарищество с ограниченной ответственностью ""ДХЛ ИНТЕРНЕШНЛ КАЗАХСТАН""                                                                                                                                                                                        ",10261075.49,24
"ООО ""Кубаньгрузстрой""                                                                                                                                                                                                                                          ",2523357.52,36
"Совместное общество с ограниченной ответственностью  ""М&М МИЛИТЦЕР & МЮНХ""                                                                                                                                                                                     ",41044301.96,96
"Частное унитарное транспортно-торговое предприятие ""БелПАМ""                                                                                                                                                                                                    ",10261075.49,24
"общество с ограниченной ответственностью ""ЮРИДАН""                                                                                                                                                                                                              ",10261075.49,24
"Общество с ограниченной ответственностью ""ВЕГАС""                                                                                                                                                                                                               ",30783226.47,72
"Товарищество с ограниченной ответственностью ""Asia Freight""                                                                                                                                                                                                    ",10261075.49,24
"Иностранное общество с ограниченной ответственностью ""АНРЭКС""                                                                                                                                                                                                  ",30783226.47,72
"иностранное частное унитарное транспортное предприятие ""ХИЛЬД""                                                                                                                                                                                                 ",10261075.49,24
"ООО ""КГС-Транс""                                                                                                                                                                                                                                                ",9462590.7,135
"Частное производственно-торговое унитарное предприятие ""Галара""                                                                                                                                                                                                ",20522150.98,48
"Общество с дополнительной ответственностью ""ТТС КристаллТранс"" г. Гродно                                                                                                                                                                                       ",41044301.96,96
"Республиканское унитарное предприятие ""Белтаможсервис""                                                                                                                                                                                                         ",20522150.98,48
"Иностранное частное унитарное транспортно-экспедиторское предприятие ""ФАНТОМ""                                                                                                                                                                                  ",143655056.86,336
"Унитарное частное транспортное предприятие ""Аванта-Транс""                                                                                                                                                                                                      ",20522150.98,48
"Совместное общество с ограниченной ответственностью ""ПроЛив""                                                                                                                                                                                                   ",41044301.96,96
"Общество с ограниченной ответственностью ""ТНА""                                                                                                                                                                                                                 ",143655056.86,336
"Общество с ограниченной ответственностью ""БИГ-ТРЭЙЛ""                                                                                                                                                                                                           ",41044301.96,96
"Товарищество с ограниченной ответственностью ""Бурабай-Экспресс""                                                                                                                                                                                                ",10261075.49,24
"Транспортно-экспедиционное унитарное предприятие ""Ситикар""                                                                                                                                                                                                     ",30783226.47,72
"Совместное белорусско-литовское предприятие ""ТОРИМЭКС"" общество с ограниченной ответственностью                                                                                                                                                                ",30783226.47,72
"Товарищество с ограниченной ответственностью ""RM LOGISTICS""                                                                                                                                                                                                    ",10261075.49,24
"Совместное общество с ограниченной ответственностью ""БЕЛТРАНСВЕЙС""                                                                                                                                                                                             ",20522150.98,48
"Общество с ограниченной ответственностью ""РЕЗОНАНС""                                                                                                                                                                                                            ",20522150.98,48
"Общество с дополнительной ответственностью ""Протранс""                                                                                                                                                                                                          ",30783226.47,72
"Общество с ограниченной ответственностью ""БЕЛТРАНСКОНСАЛТ""                                                                                                                                                                                                     ",164177207.84,384
"Общество с ограниченной ответственностью ""Фактор""                                                                                                                                                                                                              ",30783226.47,72
"общество с ограниченной ответственностью ""Кубань - Транспортная экспедиция"" (ООО ""Кубань-ТЭкс"")                                                                                                                                                                ",630839.38,9
"Совместное открытое акционерное общество ""АТЭП-5""                                                                                                                                                                                                              ",30783226.47,72
"ООО ""ЛЕВОН ТРАНС""                                                                                                                                                                                                                                              ",10261075.49,24
"Товарищество с ограниченной ответственностью ""VIS-A-VIS.RA""                                                                                                                                                                                                    ",10261075.49,24
"Общество с ограниченной ответственностью ""Тайтранс""                                                                                                                                                                                                            ",112871830.39,264
"Частное производственное унитарное предприятие ""АВТОБЕЛ""                                                                                                                                                                                                       ",20522150.98,48
"Общество с дополнительной ответственностью ""ОЛВА-ТРЕЙД""                                                                                                                                                                                                        ",30783226.47,72
"Совместное предприятие ""ТРАНЗИТ"" обществО с ограниченной ответственностью                                                                                                                                                                                      ",10261075.49,24
"Частное транспортное унитарное предприятие ""РР-ТРАНС""                                                                                                                                                                                                          ",112871830.39,264
"ООО ""ТРАНСАРМ""                                                                                                                                                                                                                                                 ",10261075.49,24
"ООО ""Фирма ""Автодеталь""                                                                                                                                                                                                                                        ",1892518.14,27
"ООО ""ТРАНСИМПЕКС""                                                                                                                                                                                                                                              ",10261075.49,24
"Общество с ограниченной ответственностью ""БиоЭкоРесурс""                                                                                                                                                                                                        ",112871830.39,264
"Общество с ограниченной ответственностью ""Трансконсалт Брест""                                                                                                                                                                                                  ",30783226.47,72
"совместное белорусско-германское предприятие ""ВестТрансЛайн"" общество с ограниченной ответственностью                                                                                                                                                          ",30783226.47,72
"ООО ""ГОЛДТРАНС                                                                                                                                                                                                                                                 ",10261075.49,24
"Транспортно-экспедиционное унитарное предприятие ""АТЭП-11""                                                                                                                                                                                                     ",20522150.98,48
"Общество с ограниченной ответственностью ""ТРАНСМОБИЛ""                                                                                                                                                                                                          ",10261075.49,24
"ООО ""Дружба""                                                                                                                                                                                                                                                   ",17901968503.0,3
"Совместное белорусско-германское предприятие ""ВестТрансЛайн"" общество с ограниченной ответственностью                                                                                                                                                          ",20522150.98,48
"Товарищество с ограниченной ответственностью ""Глобалинк""Транспортэйшн энд Лоджистикс Ворлдвайд""                                                                                                                                                                ",10261075.49,24
"ЗАО ""фирма ""Межторгтранс""                                                                                                                                                                                                                                      ",242750.0,1
"Транспортное унитарное предприятие ""Квенбергер Логистикс БЛР""                                                                                                                                                                                                  ",10261075.49,24
"ООО ""Примортрансавто""                                                                                                                                                                                                                                          ",1.25313779521e+11,21
"ООО ""Стар-Карго""                                                                                                                                                                                                                                               ",3881196.0,9
"Совместное закрытое акционерное общество ""БелФрост""                                                                                                                                                                                                            ",41044301.96,96
"Иностранное частное унитарное транспортное предприятие ""ВАНБЕРГ""                                                                                                                                                                                               ",10261075.49,24
"Совместное белорусско-германское предприятие ""ХАЛТ""общество с ограниченной ответственностью                                                                                                                                                                    ",20522150.98,48
"Частное транспортно-экспедиционное унитарное предприятие ""Гриван-авто""                                                                                                                                                                                         ",20522150.98,48
"ЗАО ""Аэрофлот-Норд""                                                                                                                                                                                                                                            ",1330711.84,6
"Общество с дополнительной ответственностью ""ВаДи"" , Пуховичский район                                                                                                                                                                                          ",143655056.86,336
"ООО ""Кубань-ТЭкс""                                                                                                                                                                                                                                              ",3785036.28,54
"Иностранное частное унитарное транспортное предприятие ""Бенцингер""  общества с ограниченной ответственностью ""Рольф Бенцингер Шпедитион-транспорте""                                                                                                            ",112871830.39,264
"Общество с ограниченной ответственностью ""ГАЛЕОН И К""                                                                                                                                                                                                          ",112871830.39,264
"Иностранное частное унитарное транспортно-торговое предприятие ""Фирма АУППЕРЛЕ Г.М.Б.Х "" общества с ограниченной ответственностью ""АУППЕРЛЕ Г.М.Б.Х.""                                                                                                          ",20522150.98,48
"Товарищество с ограниченной ответственностью ""Мерей""                                                                                                                                                                                                           ",10261075.49,24
"Частное транспортное унитарное предприятие ""Транскарголайн""                                                                                                                                                                                                    ",41044301.96,96
"ООО ""Южная Транспортная Компания""                                                                                                                                                                                                                              ",38474.27,2
"Транспортно-техническое общество с ограниченной ответственностью ""ТРАНСТЕХСЕРВИС""                                                                                                                                                                              ",20522150.98,48
"Общество с ограниченной ответственностью ""ГРУЗЭКСПО""                                                                                                                                                                                                           ",20522150.98,48
"ООО ""БИАЙНА СНАБ""                                                                                                                                                                                                                                              ",10261075.49,24
